Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	764865	778688	lncRNA	LOC100288069	-	1371	62	0.25	0.6772994405606609
chr1	778742	809798	lncRNA	LINC01409	+	5138	97	0.11	0.28275097848365943
chr1	817371	819834	lncRNA	FAM87B	+	1944	21	0.06	0.16178919581493087
chr1	826206	827522	lncRNA	LINC00115	-	1317	321	1.37	3.650444412959339
chr1	827591	859446	lncRNA	LINC01128	+	9233	1966	1.20	3.1890928225457733
chr1	860185	868202	lncRNA	LOC107984850	+	2454	6	0.01	0.03661872123230011
chr1	868071	876802	lncRNA	FAM41C	-	1706	2	0.01	0.017558097284889503
chr1	905115	914782	lncRNA	LOC284600	+	3858	1754	2.55	6.809164839283268
chr1	916818	919692	lncRNA	LINC02593	-	1506	2028	7.56	20.168307811137975
chr1	921013	924937	protein_coding	LOC107985728	-	3646	3925	6.05	16.123134575491544
chr1	925731	944574	protein_coding	SAMD11	+	2557	6525	14.33	38.218731646722766
chr1	944203	959256	protein_coding	NOC2L	-	2757	29099	59.29	158.07667072097522
chr1	960103	965719	protein_coding	KLHL17	+	3277	5471	9.38	25.004418297077443
chr1	965820	975865	protein_coding	PLEKHN1	+	4005	649	0.91	2.426993753463914
chr1	975198	982276	protein_coding	PERM1	-	3615	99	0.15	0.410160066782037
chr1	998962	1001052	protein_coding	HES4	-	1920	5199	15.21	40.555062114516595
chr1	1013497	1014540	protein_coding	ISG15	+	637	3955	34.88	92.9894197358909
chr1	1020102	1056119	protein_coding	AGRN	+	8127	55271	38.20	101.85762477707124
chr1	1059734	1066453	lncRNA	LOC100288175	+	974	64	0.37	0.9841187340623079
chr1	1065635	1068554	lncRNA	LOC105378948	-	2920	69	0.13	0.35390990818381557
chr1	1065635	1071341	protein_coding	LOC112267874	-	2703	42	0.09	0.23271786656620472
chr1	1070967	1074306	protein_coding	RNF223	-	1900	168	0.50	1.324287143849371
chr1	1081823	1116089	protein_coding	C1orf159	-	2432	3490	8.06	21.492569438403578
chr1	1137017	1144056	lncRNA	LINC01342	+	1620	6	0.02	0.05547058142226202
chr1	1167104	1167198	miRNA	MIR200B	+	95	1	0.06	0.15765323141063942
chr1	1167863	1167952	miRNA	MIR200A	+	90	0	0.00	0.0
chr1	1169005	1169087	miRNA	MIR429	+	83	1	0.07	0.18044646968687644
chr1	1173055	1179648	misc_RNA	TTLL10-AS1	-	4176	10	0.01	0.035864600057497
chr1	1173709	1197936	protein_coding	TTLL10	+	4296	13	0.02	0.04532163426260234
chr1	1203508	1207901	protein_coding	TNFRSF18	-	2457	21	0.05	0.12800903405137393
chr1	1211326	1216812	protein_coding	TNFRSF4	-	3671	21	0.03	0.08567643602948125
chr1	1216908	1232067	protein_coding	SDF4	-	4070	30974	42.75	113.98018747487686
chr1	1232237	1235041	protein_coding	B3GALT6	+	2805	3602	7.21	19.232570144886527
chr1	1242448	1247218	protein_coding	C1QTNF12	-	1309	137	0.59	1.567499470442683
chr1	1253912	1273854	protein_coding	UBE2J2	-	4337	6468	8.38	22.336085905598686
chr1	1274002	1279447	lncRNA	LINC01786	+	1671	193	0.65	1.7298456001879559
chr1	1280436	1292029	protein_coding	SCNN1D	+	3054	462	0.85	2.265684455341508
chr1	1292384	1307930	protein_coding	ACAP3	-	6632	7018	5.94	15.848761446590379
chr1	1296110	1296170	miRNA	MIR6726	-	61	1	0.09	0.24552552432804503
chr1	1304729	1304812	snoRNA	SNORD167	-	84	0	0.00	0.0
chr1	1308563	1311677	protein_coding	PUSL1	+	1412	3439	13.68	36.47740720114232
chr1	1311585	1324687	protein_coding	INTS11	-	2629	10105	21.59	57.56681659316416
chr1	1312502	1312566	miRNA	MIR6727	-	65	6	0.52	1.3824975677548381
chr1	1324757	1328896	protein_coding	CPTP	+	3041	4749	8.77	23.389031113800403
chr1	1331280	1335320	protein_coding	TAS1R3	+	3607	165	0.26	0.685116274566613
chr1	1335278	1349418	protein_coding	DVL1	-	3343	15674	26.34	70.22147507250506
chr1	1339650	1339708	miRNA	MIR6808	-	59	10	0.95	2.5384842345780925
chr1	1352689	1363541	protein_coding	MXRA8	-	4842	882	1.02	2.7281627963439647
chr1	1373730	1375516	protein_coding	AURKAIP1	-	1484	17313	65.54	174.72896736130596
chr1	1385711	1399342	protein_coding	CCNL2	-	5817	21658	20.91	55.76295343986672
chr1	1399530	1402046	lncRNA	MRPL20-AS1	+	1748	2506	8.05	21.47168466929687
chr1	1401909	1407293	protein_coding	MRPL20	-	1045	8842	47.53	126.72453383026125
chr1	1412295	1416247	lncRNA	LOC107984868	-	3854	118	0.17	0.45856064455455836
chr1	1418420	1422471	protein_coding	ANKRD65	-	3340	18	0.03	0.08071467835694414
chr1	1420245	1423287	lncRNA	LOC105378585	+	1139	5	0.02	0.06574651880601731
chr1	1426128	1427787	protein_coding	TMEM88B	+	492	6	0.07	0.18264703639037497
chr1	1430157	1434573	lncRNA	LINC01770	-	1194	10	0.05	0.1254359881407935
chr1	1433233	1435626	protein_coding	LOC107985729	+	1463	5	0.02	0.05118611409436345
chr1	1435690	1442882	protein_coding	VWA1	+	4492	33	0.04	0.11002735540346273
chr1	1449689	1470163	protein_coding	ATAD3C	+	3864	128	0.19	0.49613439284507654
chr1	1471732	1509466	protein_coding	ATAD3B	+	6268	4477	4.01	10.697556496077873
chr1	1512143	1534687	protein_coding	ATAD3A	+	2885	10162	19.79	52.75454179255362
chr1	1534778	1540624	protein_coding	TMEM240	-	1381	64	0.26	0.6940851897007152
chr1	1541673	1574863	protein_coding	SSU72	-	1284	14175	62.01	165.34250992862331
chr1	1598012	1600135	protein_coding	FNDC10	-	2124	23	0.06	0.1621809372091559
chr1	1599433	1607210	lncRNA	LOC105378586	+	572	1	0.01	0.026183666055962843
chr1	1613730	1630610	protein_coding	MIB2	+	9692	4254	2.47	6.573710318817757
chr1	1631681	1635638	protein_coding	MMP23B	+	2764	21	0.04	0.1137909539306171
chr1	1635225	1659619	protein_coding	CDK11B	-	4363	3618	4.66	12.41966357280561
chr1	1659798	1692795	protein_coding	SLC35E2B	-	6908	5991	4.87	12.988932888130917
chr1	1699939	1701808	transcribed_pseudogene	MMP23A	+	906	2	0.01	0.03306193594704358
chr1	1702379	1724357	protein_coding	CDK11A	-	3050	1515	2.79	7.4394233871397635
chr1	1724838	1745999	protein_coding	SLC35E2A	-	7297	1231	0.95	2.526621508471595
chr1	1745725	1751773	lncRNA	LOC112268218	+	2032	9	0.02	0.06633539018508695
chr1	1751232	1780509	protein_coding	NADK	-	5092	14742	16.26	43.36052122118743
chr1	1785285	1891117	protein_coding	GNB1	-	3494	32496	52.24	139.2943456646861
chr1	1891057	1892722	protein_coding	LOC105378949	+	1470	73	0.28	0.7437586121311459
chr1	1913751	1917296	protein_coding	CALML6	+	2245	32	0.08	0.21348143585226897
chr1	1917591	1919279	protein_coding	TMEM52	-	935	147	0.88	2.3546816862562348
chr1	1921957	2003837	protein_coding	CFAP74	-	7400	19	0.01	0.038454605769757316
chr1	1955857	1958986	lncRNA	LOC107984872	+	2799	10	0.02	0.05350859944269648
chr1	2013211	2018138	lncRNA	LOC105378589	-	4748	41	0.05	0.12933010453758223
chr1	2019345	2030758	protein_coding	GABRD	+	5126	21	0.02	0.06135743204530348
chr1	2034986	2047447	lncRNA	LOC105378590	-	2225	7	0.02	0.04711883096093268
chr1	2049201	2050070	lncRNA	LOC105378591	-	540	3	0.03	0.08320587213339303
chr1	2050411	2185399	protein_coding	PRKCZ	+	7347	1374	1.05	2.800935932493639
chr1	2181794	2183875	lncRNA	PRKCZ-AS1	-	1253	82	0.37	0.9801425959208947
chr1	2184457	2212720	protein_coding	FAAP20	-	7844	3465	2.48	6.615948807954773
chr1	2189788	2192458	protein_coding	LOC112268219	+	2671	290	0.61	1.626112514175633
chr1	2207013	2208854	lncRNA	LOC105378593	+	1031	133	0.72	1.9320548776657898
chr1	2228319	2310213	protein_coding	SKI	+	11061	7814	3.97	10.580483073235689
chr1	2321253	2391554	protein_coding	MORN1	-	6202	1345	1.22	3.248007359479918
chr1	2350414	2352661	transcribed_pseudogene	LOC100129534	-	2248	449	1.12	2.991413961664068
chr1	2391841	2405436	protein_coding	RER1	+	3028	14142	26.24	69.94898938833552
chr1	2404802	2412574	protein_coding	PEX10	-	2077	2523	6.82	18.193122181347672
chr1	2412481	2505532	protein_coding	PLCH2	+	7938	70	0.05	0.13207281291014766
chr1	2508537	2526622	protein_coding	PANK4	-	4482	4325	5.42	14.452425581402604
chr1	2528745	2530554	protein_coding	HES5	-	1711	34	0.11	0.2976153930195005
chr1	2549920	2557011	lncRNA	TNFRSF14-AS1	-	4619	8	0.01	0.025939912507487763
chr1	2556365	2565622	protein_coding	TNFRSF14	+	4764	24	0.03	0.07545116868519268
chr1	2566535	2584534	lncRNA	LOC100996583	+	698	0	0.00	0.0
chr1	2586523	2591469	protein_coding	PRXL2B	+	2891	184	0.36	0.9532267329844265
chr1	2590639	2633042	protein_coding	MMEL1	-	3323	6	0.01	0.027042534427945974
chr1	2633111	2636620	lncRNA	MMEL1-AS1	+	1050	1	0.01	0.014263863794295948
chr1	2636988	2800868	protein_coding	TTC34	-	7080	24	0.02	0.050769684691561845
chr1	2700540	2702756	lncRNA	LOC105378603	-	128	0	0.00	0.0
chr1	2701377	2702276	lncRNA	LOC105378602	+	777	0	0.00	0.0
chr1	2762488	2763387	lncRNA	LOC105378601	+	777	0	0.00	0.0
chr1	2763419	2767518	lncRNA	LOC112268220	+	996	0	0.00	0.0
chr1	2764564	2765629	lncRNA	LOC107985732	+	822	0	0.00	0.0
chr1	2766073	2766972	lncRNA	LOC105378600	+	777	0	0.00	0.0
chr1	2767822	2784745	lncRNA	LOC105378598	+	4691	1	0.00	0.003192721591134245
chr1	2771826	2772891	lncRNA	LOC107984904	+	822	0	0.00	0.0
chr1	2773495	2774394	lncRNA	LOC105378599	+	777	0	0.00	0.0
chr1	3021467	3022903	protein_coding	ACTRT2	+	1437	4	0.02	0.04168978979543701
chr1	3059617	3067725	lncRNA	PRDM16-DT	-	3848	5	0.01	0.01946083287943184
chr1	3069203	3438621	protein_coding	PRDM16	+	8698	33	0.02	0.05682258915524886
chr1	3127975	3128035	miRNA	MIR4251	+	61	0	0.00	0.0
chr1	3159009	3167597	lncRNA	LOC105378606	-	6179	7	0.01	0.016967049504462733
chr1	3191945	3195519	lncRNA	LOC107984909	+	2459	1	0.00	0.006090710444900669
chr1	3210740	3214473	lncRNA	LOC105378605	-	3292	6	0.01	0.027297187698683008
chr1	3306636	3327974	lncRNA	LOC105378604	-	13518	35	0.01	0.038777703391062
chr1	3454589	3481115	protein_coding	ARHGEF16	+	3971	3500	4.95	13.200629424335837
chr1	3487951	3624770	protein_coding	MEGF6	-	8665	4247	2.75	7.340745644673242
chr1	3546965	3550776	lncRNA	LOC105378608	+	3022	70	0.13	0.3469205787163309
chr1	3560695	3560790	miRNA	MIR551A	-	96	0	0.00	0.0
chr1	3602895	3607681	lncRNA	LOC105378607	+	990	4	0.02	0.060513361551558564
chr1	3625015	3630127	protein_coding	TPRG1L	+	2401	5181	12.12	32.3182558243064
chr1	3630767	3650103	protein_coding	WRAP73	-	1829	2446	7.51	20.02945947670327
chr1	3652516	3736201	protein_coding	TP73	+	5571	57	0.06	0.15323860134421335
chr1	3658430	3665413	lncRNA	LOC105378610	-	2164	5	0.01	0.03460503000002483
chr1	3674874	3677639	lncRNA	LOC105378609	-	709	1	0.01	0.021124198849098372
chr1	3735984	3747373	lncRNA	TP73-AS1	-	6455	3698	3.22	8.58019469045263
chr1	3752398	3771645	protein_coding	CCDC27	+	3676	7	0.01	0.028519967053339288
chr1	3772761	3775982	protein_coding	SMIM1	+	573	125	1.23	3.267246287960459
chr1	3778559	3796498	protein_coding	LRRC47	-	4303	7401	9.66	25.75998111519022
chr1	3812086	3857233	protein_coding	CEP104	-	6687	4893	4.11	10.95898606591365
chr1	3857267	3885429	protein_coding	DFFB	+	5760	1156	1.13	3.0058121308188235
chr1	3885495	3888787	lncRNA	LOC107984910	-	2271	34	0.08	0.2242271851415083
chr1	3889133	3900293	protein_coding	C1orf174	-	4276	2284	3.00	7.999906022329406
chr1	3900404	3915447	lncRNA	LINC01134	+	1952	59	0.17	0.45268768547983296
chr1	3940612	3952583	lncRNA	LINC01346	+	568	0	0.00	0.0
chr1	3947149	3948980	lncRNA	LINC01345	-	937	0	0.00	0.0
chr1	3972916	4011584	lncRNA	LINC02780	+	3030	6	0.01	0.029657538582199498
chr1	4412051	4424684	lncRNA	LINC01777	+	2074	2	0.01	0.014442677901649707
chr1	4432146	4443634	lncRNA	LOC105376674	+	1175	2	0.01	0.025492862951507652
chr1	4571487	4583706	lncRNA	LINC01646	+	1028	2	0.01	0.02913824315955398
chr1	4603688	4617555	lncRNA	LOC107985376	+	557	1	0.01	0.02688879171276615
chr1	4654609	4792534	protein_coding	AJAP1	+	13063	24	0.01	0.02751660167008022
chr1	4973391	4983958	lncRNA	LINC02781	+	1968	0	0.00	0.0
chr1	4997369	5004349	lncRNA	LOC102724429	+	1051	1	0.01	0.014250292087545906
chr1	5090580	5098548	lncRNA	LINC02782	-	465	1	0.01	0.0322087246967973
chr1	5131856	5135311	lncRNA	LOC105376682	+	434	1	0.01	0.03450934788942568
chr1	5470329	5481317	lncRNA	LOC107984911	-	2970	1	0.00	0.005042780129296548
chr1	5490842	5494668	lncRNA	LOC105376686	-	2774	4	0.01	0.021596333069950603
chr1	5862672	5862741	miRNA	MIR4689	-	70	0	0.00	0.0
chr1	5862810	5992425	protein_coding	NPHP4	-	8356	4311	2.90	7.72691391312474
chr1	5992639	6101186	protein_coding	KCNAB2	+	5360	8394	8.80	23.45474185145265
chr1	6101787	6180321	protein_coding	CHD5	-	9850	82	0.05	0.12468209875014023
chr1	6131763	6132692	lncRNA	LOC105376687	+	322	1	0.02	0.04651259932922592
chr1	6185020	6199595	protein_coding	RPL22	-	2061	67559	184.14	490.94371314060254
chr1	6200492	6209339	lncRNA	LOC107985733	-	523	79	0.85	2.2623087987320245
chr1	6204840	6205780	lncRNA	LOC102724450	-	378	43	0.64	1.703739286540905
chr1	6206004	6221299	protein_coding	RNF207	+	5078	3013	3.33	8.886544445219451
chr1	6221193	6235964	protein_coding	ICMT	-	4852	20919	24.22	64.57235264808754
chr1	6236240	6239444	lncRNA	LINC00337	+	1642	169	0.58	1.5414875945784507
chr1	6244179	6245578	protein_coding	HES3	+	710	0	0.00	0.0
chr1	6247353	6261098	protein_coding	GPR153	-	4871	3239	3.74	9.959081825335826
chr1	6264272	6393766	protein_coding	ACOT7	-	2329	9633	23.23	61.94675394030722
chr1	6415232	6419919	protein_coding	HES2	-	4262	4094	5.40	14.386689650994835
chr1	6424776	6461367	protein_coding	ESPN	+	8757	5292	3.39	9.050883357243904
chr1	6429834	6429896	miRNA	MIR4252	-	63	3	0.27	0.7131931897147974
chr1	6461151	6466195	protein_coding	TNFRSF25	-	1916	274	0.80	2.1418129507405763
chr1	6466092	6520061	protein_coding	PLEKHG5	-	5968	1155	1.09	2.898542362019506
chr1	6521347	6554535	protein_coding	NOL9	-	7898	3211	2.28	6.089051655565776
chr1	6555307	6579755	protein_coding	TAS1R1	+	4256	22	0.03	0.0774189975677247
chr1	6567548	6579433	lncRNA	LOC107984912	-	446	0	0.00	0.0
chr1	6579994	6589280	protein_coding	ZBTB48	+	3005	1682	3.14	8.383164674577728
chr1	6590724	6602869	protein_coding	KLHL21	-	4939	9055	10.30	27.458443205146246
chr1	6603447	6613461	lncRNA	LOC107984913	-	1971	52	0.15	0.3951329087613185
chr1	6613731	6624030	protein_coding	PHF13	+	3844	6403	9.36	24.9474755121282
chr1	6624616	6635586	protein_coding	THAP3	+	3740	1656	2.49	6.631552504150213
chr1	6634168	6701833	protein_coding	DNAJC11	-	3220	9170	16.00	42.65205358490017
chr1	6724745	6730012	lncRNA	LINC01672	+	485	0	0.00	0.0
chr1	6783892	6784980	lncRNA	CAMTA1-DT	-	552	53	0.54	1.4380145292619013
chr1	6785324	7769706	protein_coding	CAMTA1	+	22406	4011	1.01	2.681111111437432
chr1	7235640	7240139	lncRNA	LOC105376692	-	2326	3	0.01	0.019316926462610594
chr1	7382487	7389754	lncRNA	CAMTA1-AS2	-	744	1	0.01	0.020130452935498318
chr1	7440567	7442144	lncRNA	CAMTA1-AS1	-	1480	3	0.01	0.030358899291913675
chr1	7503370	7508625	lncRNA	LOC105376691	+	307	1	0.02	0.04878520190231513
chr1	7693159	7704032	lncRNA	LOC105376689	-	5969	17	0.02	0.04265538092279823
chr1	7771275	7781432	protein_coding	VAMP3	+	2631	10505	22.43	59.80006978982625
chr1	7784187	7845181	protein_coding	PER3	+	8502	1646	1.09	2.8995807804847904
chr1	7846345	7913615	protein_coding	UTS2	-	1702	4	0.01	0.035198723816711505
chr1	7915871	7941607	protein_coding	TNFRSF9	-	6870	366	0.30	0.7979043458730615
chr1	7961654	7985505	protein_coding	PARK7	+	1344	35965	150.32	400.78114168894825
chr1	8011725	8026309	protein_coding	ERRFI1	-	6826	2828	2.33	6.20496881787026
chr1	8129155	8147644	lncRNA	LOC107984915	-	1086	1	0.01	0.013791028530396635
chr1	8208672	8215210	lncRNA	LINC01714	+	497	2	0.02	0.0602698470181519
chr1	8240090	8248644	lncRNA	LOC105376695	+	176	1	0.03	0.08509691468187924
chr1	8318085	8344167	protein_coding	SLC45A1	+	2551	11	0.02	0.06458158636774528
chr1	8352404	8817640	protein_coding	RERE	-	8466	10154	6.74	17.963269149024935
chr1	8424645	8435016	lncRNA	RERE-AS1	+	694	1	0.01	0.021580773752176867
chr1	8494800	8494913	snoRNA	SNORD128	-	114	0	0.00	0.0
chr1	8861000	8878686	protein_coding	ENO1	-	3161	458768	815.27	2173.677468662019
chr1	8866502	8866590	miRNA	MIR6728	-	89	3	0.19	0.5048446174385645
chr1	8878835	8879885	lncRNA	ENO1-AS1	+	447	325	4.08	10.8893591047058
chr1	8905607	8927330	lncRNA	LOC112268261	-	6171	28	0.03	0.06795618142153637
chr1	8945868	8975092	protein_coding	CA6	+	1614	3	0.01	0.027838395881060865
chr1	8992534	9026384	protein_coding	SLC2A7	-	2078	6	0.02	0.04324463036769224
chr1	9035106	9072259	protein_coding	SLC2A5	-	5891	167	0.16	0.4245745232269215
chr1	9100305	9129124	protein_coding	GPR157	-	5219	3227	3.47	9.260579208162996
chr1	9148011	9182338	lncRNA	MIR34AHG	-	4157	531	0.72	1.9131145678397177
chr1	9151668	9151777	miRNA	MIR34A	-	110	0	0.00	0.0
chr1	9182204	9192086	lncRNA	LNCTAM34A	+	982	39	0.22	0.5948118354138687
chr1	9234767	9271337	protein_coding	H6PD	+	14647	4389	1.68	4.487902171285803
chr1	9292894	9369532	protein_coding	SPSB1	+	3106	2451	4.43	11.81866280354486
chr1	9425094	9428996	lncRNA	LINC02606	-	2438	111	0.26	0.6818922580907272
chr1	9539465	9585173	protein_coding	SLC25A33	+	4007	2813	3.94	10.514215446973353
chr1	9588843	9614877	protein_coding	TMEM201	+	7153	5429	4.26	11.367320336389534
chr1	9614641	9622295	protein_coding	LOC107985734	+	1102	10	0.05	0.13590795811262021
chr1	9628447	9629428	lncRNA	LOC105376712	-	442	0	0.00	0.0
chr1	9629889	9729114	protein_coding	PIK3CD	+	6330	5420	4.81	12.823957164824368
chr1	9652610	9654586	lncRNA	PIK3CD-AS1	-	1823	1	0.00	0.008215609974772763
chr1	9672426	9687574	lncRNA	PIK3CD-AS2	-	958	107	0.63	1.67280281554191
chr1	9728926	9824526	protein_coding	CLSTN1	-	5321	36224	38.24	101.95995342770253
chr1	9848276	9910322	protein_coding	CTNNBIP1	-	3500	2294	3.68	9.816391063234473
chr1	9850773	9855490	lncRNA	LOC105376717	+	485	2	0.02	0.06176105972787937
chr1	9922118	9943402	protein_coding	LZIC	-	5241	3247	3.48	9.278859764755369
chr1	9942923	9996884	protein_coding	NMNAT1	+	4763	2111	2.49	6.637952402529221
chr1	9950572	9960787	transcribed_pseudogene	TMEM274P	-	444	3	0.04	0.10119633097304559
chr1	9967381	9967458	miRNA	MIR5697	+	78	3	0.22	0.5760406532311825
chr1	9997228	10016021	protein_coding	RBP7	+	840	10	0.07	0.17829829742869935
chr1	10032958	10181239	protein_coding	UBE4B	+	7007	18132	14.54	38.756100647079045
chr1	10210570	10381603	protein_coding	KIF1B	+	16647	16663	5.62	14.99145194476909
chr1	10357983	10366610	lncRNA	LOC105376725	-	1449	17	0.07	0.17571426413263125
chr1	10399064	10420511	protein_coding	PGD	+	2473	21398	48.61	129.59121121870683
chr1	10430433	10442808	protein_coding	CENPS	+	1557	460	1.66	4.4248209458220575
chr1	10430433	10452153	protein_coding	CENPS-CORT	+	1967	4	0.01	0.03045664867109455
chr1	10450031	10451998	protein_coding	CORT	+	914	23	0.14	0.37688436611843235
chr1	10456522	10472529	protein_coding	DFFA	-	7390	18815	14.30	38.13170868121274
chr1	10474946	10630758	protein_coding	PEX14	+	6014	4014	3.75	9.996326360794667
chr1	10636604	10796650	protein_coding	CASZ1	-	9164	1403	0.86	2.292973695827922
chr1	10809018	10815658	lncRNA	LOC105376733	-	2605	1	0.00	0.0057493500898313805
chr1	10913618	10918697	lncRNA	LOC105376735	-	708	1	0.01	0.021154035288150772
chr1	10946473	10982037	protein_coding	C1orf127	-	2919	10	0.02	0.051308862569409884
chr1	11012622	11030528	protein_coding	TARDBP	+	5232	28231	30.31	80.81370330955798
chr1	11026523	11047239	protein_coding	MASP2	-	2687	50	0.10	0.2786947708226785
chr1	11054589	11060053	protein_coding	SRM	-	1484	23408	88.61	236.24187997420722
chr1	11066613	11099869	protein_coding	EXOSC10	-	3822	16712	24.56	65.48837684897634
chr1	11099675	11102105	lncRNA	EXOSC10-AS1	+	607	85	0.79	2.0972814557510926
chr1	11106535	11273497	protein_coding	MTOR	-	9582	23009	13.49	35.96400585943469
chr1	11143898	11149538	lncRNA	MTOR-AS1	+	706	1	0.01	0.021213961733726267
chr1	11189324	11195981	protein_coding	ANGPTL7	+	2502	3	0.01	0.01795810189929346
chr1	11273198	11299572	protein_coding	UBIAD1	+	8514	3297	2.18	5.799783518473505
chr1	11311439	11316855	lncRNA	LOC105376737	-	1953	3	0.01	0.023006231926283788
chr1	11357945	11364461	lncRNA	LOC105376739	+	683	1	0.01	0.02192834111861017
chr1	11371689	11377536	lncRNA	LOC105376740	+	943	3	0.02	0.04764705297140216
chr1	11479155	11537583	protein_coding	DISP3	+	7508	26	0.02	0.051865141393750584
chr1	11495407	11501633	lncRNA	LOC112268221	-	3663	3	0.00	0.012266221936126738
chr1	11609531	11613355	lncRNA	LINC01647	+	1285	20	0.09	0.23310594527643183
chr1	11648387	11654429	protein_coding	FBXO2	-	1287	5631	24.58	65.52898824938967
chr1	11654375	11663327	protein_coding	FBXO44	+	3634	2901	4.48	11.956093095931529
chr1	11664200	11674354	protein_coding	FBXO6	+	1928	69	0.20	0.5360046327265257
chr1	11674480	11691621	protein_coding	MAD2L2	-	2267	6990	17.32	46.17980958016547
chr1	11686635	11725857	protein_coding	DRAXIN	+	9003	55	0.03	0.09149596069316794
chr1	11736085	11750771	protein_coding	AGTRAP	+	1316	3915	16.71	44.555606453193064
chr1	11762188	11790223	protein_coding	C1orf167	+	6667	10	0.01	0.022464462252903473
chr1	11777077	11779619	lncRNA	C1orf167-AS1	-	1868	27	0.08	0.2164778043727463
chr1	11785723	11806103	protein_coding	MTHFR	-	8806	2088	1.33	3.551225866751583
chr1	11806096	11843144	protein_coding	CLCN6	+	5708	2305	2.27	6.048023186430408
chr1	11840319	11847616	antisense_RNA	NPPA-AS1	+	1662	17	0.06	0.1531949270326009
chr1	11845709	11847783	protein_coding	NPPA	-	855	14	0.09	0.2452383599721058
chr1	11857464	11858945	protein_coding	NPPB	-	708	1	0.01	0.021154035288150772
chr1	11908154	11908272	snRNA	RNU5E-1	+	119	33	1.56	4.153301516574409
chr1	11919591	11926427	protein_coding	KIAA2013	-	2819	13961	27.82	74.17335670584393
chr1	11934717	11975537	protein_coding	PLOD1	+	3117	30606	55.16	147.0605730037321
chr1	11980181	12013515	protein_coding	MFN2	+	4905	31382	35.94	95.82263043266569
chr1	12019466	12032045	protein_coding	MIIP	+	1931	4278	12.44	33.18065757514136
chr1	12029158	12029222	miRNA	MIR6729	+	65	0	0.00	0.0
chr1	12063303	12144213	protein_coding	TNFRSF8	+	4216	14	0.02	0.04973406019358407
chr1	12166943	12167038	miRNA	MIR7846	+	96	0	0.00	0.0
chr1	12166948	12209222	protein_coding	TNFRSF1B	+	5168	15	0.02	0.04347056013161014
chr1	12191713	12191773	miRNA	MIR4632	+	61	0	0.00	0.0
chr1	12214240	12227610	lncRNA	LOC107984917	+	2381	1	0.00	0.006290238128521942
chr1	12230030	12512047	protein_coding	VPS13D	+	16357	15326	5.26	14.033036335327303
chr1	12507246	12507397	snoRNA	SNORA59A	+	152	10	0.37	0.9853326963164963
chr1	12525256	12531132	lncRNA	LINC02766	+	4148	50	0.07	0.18053347377062134
chr1	12567910	12618210	protein_coding	DHRS3	-	2939	7150	13.67	36.43618830747766
chr1	12578957	12579023	miRNA	MIR6730	-	67	6	0.50	1.3412289836427533
chr1	12644547	12667086	protein_coding	AADACL4	+	2079	0	0.00	0.0
chr1	12716110	12728760	protein_coding	AADACL3	+	4055	7	0.01	0.02585435237683729
chr1	12746200	12763699	protein_coding	C1orf158	+	3564	24	0.04	0.10085560258593095
chr1	12774848	12777906	protein_coding	PRAMEF12	+	1779	2	0.01	0.016837613247904153
chr1	12791397	12796628	protein_coding	PRAMEF1	+	2439	1	0.00	0.006140654769992105
