Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	3752398	3771645	protein_coding	CCDC27	+	3676	5	0.01	0.017927163369177115
chr1	3772761	3775982	protein_coding	SMIM1	+	573	156	1.41	3.5882860024554395
chr1	3778559	3796498	protein_coding	LRRC47	-	4303	4461	5.38	13.664003095685297
chr1	3812086	3857233	protein_coding	CEP104	-	6687	3160	2.45	6.228347481456571
chr1	3857267	3885429	protein_coding	DFFB	+	5760	355	0.32	0.8123121407468318
chr1	3885495	3888787	lncRNA	LOC107984910	-	2271	25	0.06	0.1450908246259249
chr1	3889133	3900293	protein_coding	C1orf174	-	4276	2305	2.80	7.104774654651272
chr1	3900404	3915447	lncRNA	LINC01134	+	1952	55	0.15	0.37136412807174485
chr1	3940612	3952583	lncRNA	LINC01346	+	568	3	0.03	0.06961294282932579
chr1	3947149	3948980	lncRNA	LINC01345	-	937	1	0.01	0.014066222528302048
chr1	3972916	4011584	lncRNA	LINC02780	+	3030	7	0.01	0.030448961571991128
chr1	4412051	4424684	lncRNA	LINC01777	+	2074	2	0.01	0.012709788340423354
chr1	4432146	4443634	lncRNA	LOC105376674	+	1175	2	0.01	0.022434128525989815
chr1	4571487	4583706	lncRNA	LINC01646	+	1028	0	0.00	0.0
chr1	4603688	4617555	lncRNA	LOC107985376	+	557	1	0.01	0.023662568238813315
chr1	4654609	4792534	protein_coding	AJAP1	+	13063	25	0.01	0.02522401153835072
chr1	4973391	4983958	lncRNA	LINC02781	+	1968	3	0.01	0.020091540410089967
chr1	4997369	5004349	lncRNA	LOC102724429	+	1051	0	0.00	0.0
chr1	5090580	5098548	lncRNA	LINC02782	-	465	1	0.01	0.02834419464305165
chr1	5131856	5135311	lncRNA	LOC105376682	+	434	8	0.10	0.24295023979758557
chr1	5470329	5481317	lncRNA	LOC107984911	-	2970	0	0.00	0.0
chr1	5490842	5494668	lncRNA	LOC105376686	-	2774	4	0.01	0.019005119695773634
chr1	5862672	5862741	miRNA	MIR4689	-	70	0	0.00	0.0
chr1	5862810	5992425	protein_coding	NPHP4	-	8356	5548	3.45	8.750947848735938
chr1	5992639	6101186	protein_coding	KCNAB2	+	5360	11143	10.80	27.400243063805767
chr1	6101787	6180321	protein_coding	CHD5	-	9850	89	0.05	0.1190887812490043
chr1	6131763	6132692	lncRNA	LOC105376687	+	322	0	0.00	0.0
chr1	6185020	6199595	protein_coding	RPL22	-	2061	93367	235.31	597.0799494786893
chr1	6200492	6209339	lncRNA	LOC107985733	-	523	31	0.31	0.7812267032114523
chr1	6204840	6205780	lncRNA	LOC102724450	-	378	48	0.66	1.6736572074944782
chr1	6206004	6221299	protein_coding	RNF207	+	5078	1270	1.30	3.296310387249734
chr1	6221193	6235964	protein_coding	ICMT	-	4852	6541	7.00	17.768077159829634
chr1	6236240	6239444	lncRNA	LINC00337	+	1642	86	0.27	0.6903071521167086
chr1	6244179	6245578	protein_coding	HES3	+	710	2	0.01	0.03712690284230709
chr1	6247353	6261098	protein_coding	GPR153	-	4871	1301	1.39	3.5202721642853096
chr1	6264272	6393766	protein_coding	ACOT7	-	2329	6798	15.16	38.47058109073047
chr1	6415232	6419919	protein_coding	HES2	-	4262	781	0.95	2.41520869252554
chr1	6424776	6461367	protein_coding	ESPN	+	8757	1655	0.98	2.490919674823167
chr1	6429834	6429896	miRNA	MIR4252	-	63	0	0.00	0.0
chr1	6461151	6466195	protein_coding	TNFRSF25	-	1916	59	0.16	0.4058575052359718
chr1	6466092	6520061	protein_coding	PLEKHG5	-	5968	661	0.58	1.459787765828011
chr1	6521347	6554535	protein_coding	NOL9	-	7898	910	0.60	1.5185928036474177
chr1	6555307	6579755	protein_coding	TAS1R1	+	4256	9	0.01	0.027871347410989462
chr1	6567548	6579433	lncRNA	LOC107984912	-	446	3	0.03	0.08865504826694406
chr1	6579994	6589280	protein_coding	ZBTB48	+	3005	1292	2.23	5.666763812862753
chr1	6590724	6602869	protein_coding	KLHL21	-	4939	4418	4.65	11.789727302864145
chr1	6603447	6613461	lncRNA	LOC107984913	-	1971	30	0.08	0.2006095967887217
chr1	6613731	6624030	protein_coding	PHF13	+	3844	8108	10.96	27.80016897167695
chr1	6624616	6635586	protein_coding	THAP3	+	3740	1609	2.23	5.670240981019145
chr1	6634168	6701833	protein_coding	DNAJC11	-	3220	3218	5.19	13.171864142243228
chr1	6724745	6730012	lncRNA	LINC01672	+	485	0	0.00	0.0
chr1	6783892	6784980	lncRNA	CAMTA1-DT	-	552	30	0.28	0.7163070928814683
chr1	6785324	7769706	protein_coding	CAMTA1	+	22406	3727	0.86	2.192361342815044
chr1	7235640	7240139	lncRNA	LOC105376692	-	2326	5	0.01	0.02833200883280098
chr1	7382487	7389754	lncRNA	CAMTA1-AS2	-	744	0	0.00	0.0
chr1	7440567	7442144	lncRNA	CAMTA1-AS1	-	1480	3	0.01	0.02671631859936287
chr1	7503370	7508625	lncRNA	LOC105376691	+	307	0	0.00	0.0
chr1	7693159	7704032	lncRNA	LOC105376689	-	5969	36	0.03	0.07949100658815289
chr1	7771275	7781432	protein_coding	VAMP3	+	2631	11184	22.08	56.02648608622906
chr1	7784187	7845181	protein_coding	PER3	+	8502	321	0.20	0.49762364307164253
chr1	7846345	7913615	protein_coding	UTS2	-	1702	7	0.02	0.054207023245084085
chr1	7915871	7941607	protein_coding	TNFRSF9	-	6870	497	0.38	0.9534912813657136
chr1	7961654	7985505	protein_coding	PARK7	+	1344	31299	120.96	306.93631017990043
chr1	8011725	8026309	protein_coding	ERRFI1	-	6826	59384	45.19	114.66219153641742
chr1	8129155	8147644	lncRNA	LOC107984915	-	1086	4	0.02	0.04854530574224315
chr1	8208672	8215210	lncRNA	LINC01714	+	497	4	0.04	0.10607686526373455
chr1	8240090	8248644	lncRNA	LOC105376695	+	176	1	0.03	0.07488665061942623
chr1	8318085	8344167	protein_coding	SLC45A1	+	2551	20	0.04	0.1033324226500903
chr1	8352404	8817640	protein_coding	RERE	-	8466	10828	6.64	16.857262805534837
chr1	8424645	8435016	lncRNA	RERE-AS1	+	694	1	0.01	0.018991427246425097
chr1	8494800	8494913	snoRNA	SNORD128	-	114	13	0.59	1.502988215940765
chr1	8861000	8878686	protein_coding	ENO1	-	3161	952062	1564.43	3969.7011223402924
chr1	8866502	8866590	miRNA	MIR6728	-	89	35	2.04	5.183165930513097
chr1	8878835	8879885	lncRNA	ENO1-AS1	+	447	186	2.16	5.484316319189121
chr1	8905607	8927330	lncRNA	LOC112268261	-	6171	18	0.02	0.03844448374045411
chr1	8945868	8975092	protein_coding	CA6	+	1614	4	0.01	0.03266431352916733
chr1	8992534	9026384	protein_coding	SLC2A7	-	2078	41	0.10	0.26004911976409034
chr1	9035106	9072259	protein_coding	SLC2A5	-	5891	235	0.21	0.5257701357357781
chr1	9100305	9129124	protein_coding	GPR157	-	5219	4101	4.08	10.356655899116111
chr1	9148011	9182338	lncRNA	MIR34AHG	-	4157	1149	1.44	3.642982447645622
chr1	9151668	9151777	miRNA	MIR34A	-	110	0	0.00	0.0
chr1	9182204	9192086	lncRNA	LNCTAM34A	+	982	16	0.08	0.21474624047281493
chr1	9234767	9271337	protein_coding	H6PD	+	14647	9136	3.24	8.220996890175309
chr1	9292894	9369532	protein_coding	SPSB1	+	3106	1670	2.79	7.086504942067534
chr1	9425094	9428996	lncRNA	LINC02606	-	2438	38	0.08	0.20543146814713809
chr1	9539465	9585173	protein_coding	SLC25A33	+	4007	378	0.49	1.2433389299748412
chr1	9588843	9614877	protein_coding	TMEM201	+	7153	1008	0.73	1.8573313173621095
chr1	9614641	9622295	protein_coding	LOC107985734	+	1102	2	0.01	0.023920236858473713
chr1	9628447	9629428	lncRNA	LOC105376712	-	442	0	0.00	0.0
chr1	9629889	9729114	protein_coding	PIK3CD	+	6330	1832	1.50	3.8145106686449983
chr1	9652610	9654586	lncRNA	PIK3CD-AS1	-	1823	6	0.02	0.04337921176857602
chr1	9672426	9687574	lncRNA	PIK3CD-AS2	-	958	42	0.23	0.5778310244037566
chr1	9728926	9824526	protein_coding	CLSTN1	-	5321	61668	60.20	152.75086539939574
chr1	9848276	9910322	protein_coding	CTNNBIP1	-	3500	2875	4.27	10.826470060979906
chr1	9850773	9855490	lncRNA	LOC105376717	+	485	4	0.04	0.10870144749706406
chr1	9922118	9943402	protein_coding	LZIC	-	5241	3034	3.01	7.629893769197424
chr1	9942923	9996884	protein_coding	NMNAT1	+	4763	2358	2.57	6.524996661823817
chr1	9950572	9960787	transcribed_pseudogene	TMEM274P	-	444	2	0.02	0.05936959688747305
chr1	9967381	9967458	miRNA	MIR5697	+	78	0	0.00	0.0
chr1	9997228	10016021	protein_coding	RBP7	+	840	40	0.25	0.6276214528104294
chr1	10032958	10181239	protein_coding	UBE4B	+	7007	10831	8.03	20.372930935234045
chr1	10210570	10381603	protein_coding	KIF1B	+	16647	8473	2.64	6.708389977949068
chr1	10357983	10366610	lncRNA	LOC105376725	-	1449	21	0.08	0.19101522476839156
chr1	10399064	10420511	protein_coding	PGD	+	2473	15761	33.10	83.99950508396633
chr1	10430433	10442808	protein_coding	CENPS	+	1557	227	0.76	1.921561634905149
chr1	10430433	10452153	protein_coding	CENPS-CORT	+	1967	1	0.00	0.006700584905449424
chr1	10450031	10451998	protein_coding	CORT	+	914	9	0.05	0.12978167897283496
chr1	10456522	10472529	protein_coding	DFFA	-	7390	9649	6.78	17.208972579367316
chr1	10474946	10630758	protein_coding	PEX14	+	6014	3676	3.17	8.056179858854989
chr1	10636604	10796650	protein_coding	CASZ1	-	9164	720	0.41	1.0355343045060774
chr1	10809018	10815658	lncRNA	LOC105376733	-	2605	3	0.01	0.015178561046854914
chr1	10913618	10918697	lncRNA	LOC105376735	-	708	1	0.01	0.01861589054946189
chr1	10946473	10982037	protein_coding	C1orf127	-	2919	4	0.01	0.018061049001738976
chr1	11012622	11030528	protein_coding	TARDBP	+	5232	9847	9.78	24.805802248147984
chr1	11026523	11047239	protein_coding	MASP2	-	2687	5	0.01	0.024525587102752173
chr1	11054589	11060053	protein_coding	SRM	-	1484	12042	42.15	106.95024813315837
chr1	11066613	11099869	protein_coding	EXOSC10	-	3822	10607	14.42	36.57791620857267
chr1	11099675	11102105	lncRNA	EXOSC10-AS1	+	607	26	0.22	0.5645491157075692
chr1	11106535	11273497	protein_coding	MTOR	-	9582	12998	7.05	17.878761899001166
chr1	11143898	11149538	lncRNA	MTOR-AS1	+	706	0	0.00	0.0
chr1	11189324	11195981	protein_coding	ANGPTL7	+	2502	3	0.01	0.015803417876521602
chr1	11273198	11299572	protein_coding	UBIAD1	+	8514	594	0.36	0.9195384076059779
chr1	11311439	11316855	lncRNA	LOC105376737	-	1953	3	0.01	0.020245853316465466
chr1	11357945	11364461	lncRNA	LOC105376739	+	683	2	0.02	0.0385945842138185
chr1	11371689	11377536	lncRNA	LOC105376740	+	943	4	0.02	0.05590689505416339
chr1	11479155	11537583	protein_coding	DISP3	+	7508	28	0.02	0.049153091935606345
chr1	11495407	11501633	lncRNA	LOC112268221	-	3663	4	0.01	0.014392629548478315
chr1	11609531	11613355	lncRNA	LINC01647	+	1285	17	0.07	0.17436642696756674
chr1	11648387	11654429	protein_coding	FBXO2	-	1287	8807	35.54	90.19168984687683
chr1	11654375	11663327	protein_coding	FBXO44	+	3634	5022	7.18	18.214147951649284
chr1	11664200	11674354	protein_coding	FBXO6	+	1928	101	0.27	0.6904487040513074
chr1	11674480	11691621	protein_coding	MAD2L2	-	2267	9675	22.17	56.24922305900264
chr1	11686635	11725857	protein_coding	DRAXIN	+	9003	116	0.07	0.1698196000273471
chr1	11736085	11750771	protein_coding	AGTRAP	+	1316	3972	15.68	39.780517189835514
chr1	11762188	11790223	protein_coding	C1orf167	+	6667	6	0.00	0.01186145238549784
chr1	11777077	11779619	lncRNA	C1orf167-AS1	-	1868	74	0.21	0.5221219152395115
chr1	11785723	11806103	protein_coding	MTHFR	-	8806	1923	1.13	2.87817818860363
chr1	11806096	11843144	protein_coding	CLCN6	+	5708	1302	1.18	3.00638152816096
chr1	11840319	11847616	antisense_RNA	NPPA-AS1	+	1662	3	0.01	0.02379070488992602
chr1	11845709	11847783	protein_coding	NPPA	-	855	1	0.01	0.015415263753238616
chr1	11857464	11858945	protein_coding	NPPB	-	708	10	0.07	0.1861589054946189
chr1	11908154	11908272	snRNA	RNU5E-1	+	119	37	1.61	4.097998897762215
chr1	11919591	11926427	protein_coding	KIAA2013	-	2819	21332	39.31	99.73637369932376
chr1	11934717	11975537	protein_coding	PLOD1	+	3117	83595	139.30	353.476523035433
chr1	11980181	12013515	protein_coding	MFN2	+	4905	27961	29.61	75.13300556221829
chr1	12019466	12032045	protein_coding	MIIP	+	1931	1302	3.50	8.886807748701585
chr1	12029158	12029222	miRNA	MIR6729	+	65	1	0.08	0.2027700078310618
chr1	12063303	12144213	protein_coding	TNFRSF8	+	4216	8	0.01	0.025009583508574983
chr1	12166943	12167038	miRNA	MIR7846	+	96	0	0.00	0.0
chr1	12166948	12209222	protein_coding	TNFRSF1B	+	5168	36	0.04	0.09181149735384764
chr1	12191713	12191773	miRNA	MIR4632	+	61	0	0.00	0.0
chr1	12214240	12227610	lncRNA	LOC107984917	+	2381	1	0.00	0.005535510503577915
chr1	12230030	12512047	protein_coding	VPS13D	+	16357	11215	3.56	9.036758969166
chr1	12507246	12507397	snoRNA	SNORA59A	+	152	18	0.62	1.56079545501541
chr1	12525256	12531132	lncRNA	LINC02766	+	4148	74	0.09	0.23513108429783203
chr1	12567910	12618210	protein_coding	DHRS3	-	2939	19325	34.15	86.66365297270924
chr1	12578957	12579023	miRNA	MIR6730	-	67	23	1.78	4.5244949508572745
chr1	12644547	12667086	protein_coding	AADACL4	+	2079	2	0.00	0.012679221268897565
chr1	12716110	12728760	protein_coding	AADACL3	+	4055	9	0.01	0.029252886456515696
chr1	12746200	12763699	protein_coding	C1orf158	+	3564	21	0.03	0.07766023027199757
chr1	12774848	12777906	protein_coding	PRAMEF12	+	1779	0	0.00	0.0
chr1	12791397	12796628	protein_coding	PRAMEF1	+	2439	0	0.00	0.0
chr1	12822686	12823223	lncRNA	LINC01784	-	442	0	0.00	0.0
